,marital_cat,education_cat,default_cat,loan_cat,contact_cat,housing_cat,campaign_cat1,campaign_cat2,poutcome_cat,day_cat,y_bool,age_cat,balance,duration
0,1,1,1,1,0,0,1,1,1,2,0,1,2143,261
1,1,1,1,1,0,0,1,1,1,2,0,0,29,151
2,1,1,1,0,0,0,1,1,1,2,0,0,2,76
3,1,0,1,1,0,0,1,1,1,2,0,0,1506,92
4,1,0,1,1,0,1,1,1,1,2,0,0,1,198
5,1,1,1,1,0,0,1,1,1,2,0,0,231,139
6,1,1,1,0,0,0,1,1,1,2,0,1,447,217
7,0,1,0,1,0,0,1,1,1,2,0,0,2,380
8,1,0,1,1,0,0,1,1,1,2,0,1,121,50
9,1,1,1,1,0,0,1,1,1,2,0,0,593,55
10,0,1,1,1,0,0,1,1,1,2,0,0,270,222
11,1,1,1,1,0,0,1,1,1,2,0,1,390,137
12,1,1,1,1,0,0,1,1,1,2,0,0,6,517
13,1,0,1,1,0,0,1,1,1,2,0,1,71,71
14,1,1,1,1,0,0,1,1,1,2,0,1,162,174
15,1,0,1,1,0,0,1,1,1,2,0,0,229,353
16,1,0,1,1,0,0,1,1,1,2,0,0,13,98
17,1,0,1,1,0,0,1,1,1,2,0,1,52,38
18,1,0,1,1,0,0,1,1,1,2,0,1,60,219
19,1,1,1,1,0,0,1,1,1,2,0,0,0,54
20,1,1,1,0,0,0,1,1,1,2,0,1,723,262
21,1,1,1,1,0,0,1,1,1,2,0,0,779,164
22,1,0,1,0,0,0,1,1,1,2,0,0,23,160
23,1,1,1,1,0,0,1,1,1,2,0,1,50,342
24,1,0,1,0,0,0,1,1,1,2,0,0,0,181
25,1,1,1,1,0,0,1,1,1,2,0,0,-372,172
26,1,1,1,1,0,0,1,1,1,2,0,0,255,296
27,1,1,1,0,0,0,1,1,1,2,0,0,113,127
28,1,1,1,1,0,0,1,1,1,2,0,0,-246,255
29,1,1,1,0,0,0,1,1,1,2,0,0,265,348
30,1,1,1,0,0,1,1,1,1,2,0,1,839,225
31,1,1,1,1,0,0,1,1,1,2,0,0,378,230
32,1,1,1,0,0,0,1,1,1,2,0,1,39,208
33,1,1,1,1,0,0,1,1,1,2,0,1,0,226
34,1,1,1,1,0,0,1,1,1,2,0,0,10635,336
35,0,1,1,1,0,0,1,1,1,2,0,1,63,242
36,1,1,1,1,0,0,1,1,1,2,0,1,-7,365
37,1,1,1,1,0,1,1,1,1,2,0,0,-3,1666
38,0,1,1,1,0,0,1,1,1,2,0,0,506,577
39,1,1,1,1,0,0,1,1,1,2,0,0,0,137
40,0,1,1,1,0,0,1,1,1,2,0,0,2586,160
41,1,1,1,1,0,0,1,1,1,2,0,0,49,180
42,1,0,1,1,0,0,1,1,1,2,0,1,104,22
43,1,1,1,1,0,0,1,1,1,2,0,0,529,1492
44,1,0,1,1,0,0,1,1,1,2,0,1,96,616
45,1,0,1,1,0,0,1,1,1,2,0,0,-171,242
46,1,1,1,1,0,0,1,1,1,2,0,1,-364,355
47,1,1,1,1,0,0,1,1,1,2,0,0,0,225
48,0,1,1,1,0,1,1,1,1,2,0,0,0,160
49,1,1,1,1,0,0,1,1,1,2,0,1,0,363
50,1,1,1,1,0,0,1,1,1,2,0,0,1291,266
51,0,1,1,1,0,0,1,1,1,2,0,0,-244,253
52,1,1,1,1,0,0,1,1,1,2,0,0,0,179
53,1,1,1,1,0,0,1,1,1,2,0,0,-76,787
54,1,1,1,0,0,0,1,1,1,2,0,1,-103,145
55,1,1,1,0,0,1,1,1,1,2,0,0,243,174
56,1,1,1,1,0,0,1,1,1,2,0,0,424,104
57,1,0,1,1,0,0,1,1,1,2,0,0,306,13
58,1,0,1,1,0,0,1,1,1,2,0,0,24,185
59,1,0,1,1,0,0,1,1,1,2,0,0,179,1778
60,1,1,1,1,0,0,1,1,1,2,0,0,0,138
61,0,1,1,1,0,0,1,1,1,2,0,0,989,812
62,1,0,1,1,0,0,1,1,1,2,0,1,249,164
63,1,1,1,1,0,0,1,1,1,2,0,0,790,391
64,1,0,1,1,0,0,1,1,1,2,0,0,154,357
65,1,1,1,1,0,0,1,1,1,2,0,0,6530,91
66,1,1,1,1,0,1,1,1,1,2,0,1,100,528
67,0,1,1,1,0,0,1,1,1,2,0,1,59,273
68,1,1,1,1,0,0,1,1,1,2,0,0,1205,158
